artiste,titre,popularite,score_danse,tempo,genre,duree
L.A. Guns,Renegades,37.0,0.367,170.0,10,220021.0ms
The J. Geils Band,I Don't Need You No More,24.0,0.5,144.724,2,155640.0ms
◊û◊ê◊ô◊õ◊ï,◊ß◊§◊®◊ô◊ñ◊î,20.0,0.782,109.987,5,122017.0ms
Dynoro,In My Mind,81.0,0.694,125.905,9,184560.0ms
Dove Cameron,LazyBaby,69.0,0.764,113.019,9,161351.0ms
Dan Auerbach,Never in My Wildest Dreams,62.0,0.559,117.21,0,2.93378333min
ZZ Top,Sharp Dressed Man - 2008 Remaster,73.0,0.601,125.145,10,4.30045min
BANNERS,If I Didn't Have You,64.0,0.628,136.03,9,225848.0ms
Devil Electric,All My Friends Move Like The Night,33.0,0.418,113.65,10,173808.0ms
Tommy Tutone,867-5309 / Jenny,51.0,0.588,137.633,10,228000.0ms
Kobi Aflalo,◊¢◊ì ◊©◊ô◊ë◊ï◊ê,28.0,0.514,152.097,9,221335.0ms
Lucia & The Best Boys,Perfectly Untrue,44.0,0.634,118.029,10,191918.0ms
Fleetwood Mac,Dreams - 2004 Remaster,85.0,0.828,120.151,10,257800.0ms
Shi 360,◊ß◊ë◊ú,24.0,0.818,100.033,5,234707.0ms
Fatlip,Stay,30.0,0.742,87.396,5,189916.0ms
Lil Baby,Errbody,73.0,0.887,139.995,5,210699.0ms
Berry Sakharof,◊ê◊™◊î ◊†◊û◊¶◊ê ◊õ◊ê◊ü,18.0,0.531,107.03,10,212640.0ms
Gordi,Unready,38.0,0.448,109.924,1,222717.0ms
Saweetie,Back Seat,64.0,0.847,105.006,5,183666.0ms
The Backseat Lovers,Kilby Girl,74.0,0.329,162.279,1,282206.0ms
Egozi,Fela,29.0,0.718,116.076,6,201105.0ms
Rhys,Over You,50.0,0.752,100.016,9,167213.0ms
I Lied (with Allison Ponthier),"Lord Huron, Allison Ponthier",59.0,0.44,103.877,0,3.906383333min
rainbow frog biscuits,Attention,43.0,0.66,159.988,6,166200.0ms
Hussy,I Tried,32.0,0.604,106.99,10,210365.0ms
Lacuna Coil,Enjoy the Silence - cover version,57.0,0.503,113.018,8,245573.0ms
"Stephen Devassy, Shweta Mohan",Soulmates,18.0,0.734,141.862,0,3.219666667min
Lou Reed,"I Love You, Suzanne",41.0,0.53,162.936,1,197707.0ms
The Cooper Temple Clause,Been Training Dogs,19.0,0.184,157.685,10,193493.0ms
The Neighbourhood,Pretty Boy,69.0,0.578,154.902,6,234093.0ms
The Script,The Last Time - Acoustic,48.0,0.627,132.021,9,196534.0ms
Burt Mitchell,Fading Love,54.0,0.353,107.59,7,4.679166667min
Jimbo J,◊ó◊™◊ï◊ú◊ô◊ù,53.0,0.665,105.004,5,218370.0ms
Circa Survive,The Difference Between Medicine And Poison Is In The Dose,56.0,0.374,148.078,10,257693.0ms
Ben Harper,The Bottle Wins Again,30.0,0.599,123.32,2,218102.0ms
Disturbing Tha Peace,Move Bitch,58.0,0.777,177.894,5,272293.0ms
Heather Crosse,My Man Called Me,32.0,0.655,136.82,2,214050.0ms
Built To Spill,Life in Vain,37.0,0.488,81.004,1,205506.0ms
Black Honey,I Like the Way You Die,58.0,0.546,101.936,1,188027.0ms
Itay Levi,◊û◊°◊ô◊ë◊î ◊ë◊ó◊ô◊§◊î,31.0,0.769,94.981,9,188281.0ms
Lozy,Bougie,27.0,0.743,136.07,5,156176.0ms
shame,Alphabet,46.0,0.49,99.335,10,173573.0ms
"Does It Offend You, Yeah?",We Are Rockstars,35.0,0.603,127.999,1,231634.0ms
Temple Balls,Thunder from the North,37.0,0.44,166.041,10,220392.0ms
Sleater-Kinney,Bury Our Friends,32.0,0.407,120.0,1,203813.0ms
The Jesus and Mary Chain,Taste of Cindy,35.0,0.18,138.02,10,102333.0ms
"Hank Williams, Jr.",Family Tradition,54.0,0.66,126.342,4,4.049333333min
Stevie Ray Vaughan,Mary Had a Little Lamb,59.0,0.678,122.627,2,166960.0ms
Dexplicit,Waterboy,15.0,0.765,140.049,5,189030.0ms
Jack White,Corporation,33.0,0.776,103.41,2,339000.0ms
Tammy Wynette,'Til I Get It Right,36.0,0.528,133.894,4,2.632216667min
Kenny Wayne Shepherd,Diamonds & Gold,41.0,0.571,92.155,10,317773.0ms
Jet,Rollover D.J.,42.0,0.489,133.554,10,196600.0ms
Angie McMahon,Keeping Time,41.0,0.694,114.339,1,211760.0ms
The Spencer Davis Group,I'm A Man,2.0,0.281,134.665,6,522267.0ms
Michelle Branch,Everywhere,68.0,0.523,96.952,9,214827.0ms
BIGBABYGUCCI,Pressure + Layers - Extended,43.0,0.55,142.001,5,174084.0ms
Albert Collins,I Ain't Drunk,46.0,0.656,125.659,2,247507.0ms
The Bees,A Minha Menina,44.0,0.521,98.867,1,170733.0ms
The Byrds,Turn! Turn! Turn! (To Everything There Is a Season),66.0,0.451,124.532,10,3.82266667min
Heilung,Norupo,53.0,0.377,159.819,8,257972.0ms
"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),97.0,0.591,169.928,9,2.363433333min
Langhorne Slim,The Way We Move,58.0,0.539,135.596,9,168760.0ms
Killing Joke,The Death & Resurrection Show,42.0,0.566,100.011,8,416187.0ms
Pale Seas,Someday,35.0,0.567,124.005,10,229067.0ms
Skarlett Riot,Breaking the Habit,40.0,0.524,142.052,8,249313.0ms
Shalom Hanoch,◊î◊û◊ì◊ô◊†◊î ◊î◊ñ◊ê◊™ ◊¶◊®◊ô◊õ◊î ◊ê◊û◊ê,16.0,0.586,140.003,10,224740.0ms
Daya,The Difference,65.0,0.655,113.011,9,210489.0ms
Phish,Cities,17.0,0.432,109.8,10,1477187.0ms
The Black Keys,Weight of Love,62.0,0.282,151.468,10,410187.0ms
Bryan Adams,Do I Have To Say The Words?,58.0,0.503,128.099,10,371200.0ms
Imagine Dragons,Demons,80.0,0.505,89.938,10,177507.0ms
Luke Bryan,Country Girl (Shake It For Me),70.0,0.645,105.97,4,3.759333333min
Billy 'Crash' Craddock,Rub It In,37.0,0.759,115.671,4,2.446666667min
odol,Êú™Êù•,30.0,0.712,120.038,9,252799.0ms
White Trash,Apple Pie,33.0,0.631,108.604,10,247693.0ms
Olmos,SUV,57.0,0.634,149.958,5,182400.0ms
Mars Today,Cool It,40.0,0.661,78.953,6,222402.0ms
Tuna,◊®◊ï◊ß 30,45.0,0.515,86.85,5,277241.0ms
Fantastic Negrito,Never Give Up,20.0,0.469,139.771,2,66884.0ms
Westlife,As Love Is My Witness,1.0,0.442,144.626,9,4.12min
Grateful Dead,"Ship of Fools - Live at Giants Stadium, East Rutherford, NJ, 6/17/91",21.0,0.478,116.19,10,481333.0ms
Stray Cats,Stray Cat Strut,38.0,0.667,132.127,10,195067.0ms
Tiwa Savage,Ole,38.0,0.8,99.936,5,183653.0ms
Johnnie Temple,Lead Pencil Blues (1935),38.0,0.873,104.591,2,187350.0ms
Julius Reid,Believe Before You See It,46.0,0.712,129.589,7,4.209983333min
Skegss,Save It For The Weekend,45.0,0.424,101.596,1,181608.0ms
The XCERTS,Shaking In The Water,29.0,0.455,122.981,10,190391.0ms
Au5,I Miss You (feat. Kenny Raye),29.0,0.601,170.031,10,231529.0ms
The Stranglers,Duchess,40.0,0.522,129.723,1,149427.0ms
Carakukly,◊™◊©◊¢ ◊†◊©◊û◊ï◊™,39.0,0.72,128.023,9,202500.0ms
The Robins,All Night Baby,32.0,0.475,123.519,2,186173.0ms
WAAX,Labrador,45.0,0.49,120.037,10,221627.0ms
RobClemz,Square Two,37.0,0.721,127.003,6,228396.0ms
The Budos Band,Chicago Falcon,44.0,0.584,100.712,9,173320.0ms
Phoebe Bridgers,Kyoto - Spotify Singles,54.0,0.362,123.587,1,210353.0ms
The Revelries,Clich√© Love,38.0,0.599,126.051,10,164784.0ms
Vokonis,Through the Depths (Single Edit),26.0,0.344,119.913,8,295720.0ms
"Pritam, Arijit Singh",Ik Vaari Aa,60.0,0.512,127.965,3,4.578116667min
Warped Window,Anna Mieke,57.0,0.409,67.36,0,4.9211min
Ursus,Self Affliction,5.0,0.363,175.062,8,243066.0ms
Travis Scott,FRANCHISE (feat. Young Thug & M.I.A.),77.0,0.835,154.981,5,202795.0ms
Afrojack,Hero,75.0,0.713,125.001,9,171840.0ms
The Raconteurs,Salute Your Solution,51.0,0.266,168.465,6,179973.0ms
Jefferson Airplane,White Rabbit,69.0,0.551,106.798,1,150640.0ms
Afgan,M.I.A (feat. Jackson Wang),57.0,0.723,113.954,9,178799.0ms
Hayley Williams,Teardrop,49.0,0.708,155.931,6,206000.0ms
Mondo Generator,"So High, So Low",34.0,0.538,127.618,8,155067.0ms
The Happy Fits,Hold Me Down,56.0,0.499,156.047,6,223813.0ms
Fortunate Ones,Before You,45.0,0.505,80.83,0,2.78608333min
Friendly Fires,Paris (Aeroplane Remix),52.0,0.705,112.001,1,465333.0ms
Elinaura,String Serenity,38.0,0.161,136.837,7,2.29685min
Jet,Are You Gonna Be My Girl - Acoustic,52.0,0.672,96.64,10,237173.0ms
Dan + Shay,"10,000 Hours (with Justin Bieber)",84.0,0.654,89.991,9,167693.0ms
The Unlikely Candidates,Invincible,42.0,0.703,129.984,10,201231.0ms
Aviv Geffen,◊ë◊ê ◊ê◊ú◊ô◊ô,25.0,0.492,122.039,10,277434.0ms
Adrian Younge,Forever More,36.0,0.545,99.117,1,183351.0ms
Eliad,◊ë◊°◊ï◊£ ◊†◊©◊ê◊®◊™,23.0,0.763,112.994,9,194067.0ms
Dead Poet Society,.burymewhole.,42.0,0.24,176.78,10,188166.0ms
Marcus Way,Option B,10.0,0.602,103.949,10,187500.0ms
In My Lungs,Slowdance,21.0,0.461,93.574,6,80500.0ms
PJ Morton,Ashamed,34.0,0.334,170.875,5,147044.0ms
Aretha Franklin,Day Dreaming,60.0,0.463,146.426,5,239960.0ms
Tropidelic,Snowman (with Dirty Heads),45.0,0.665,139.99,10,227093.0ms
The Flower Kings,Broken,29.0,0.393,165.069,10,408000.0ms
Shlomo Artzi,◊ï◊ê◊ï◊ú◊ô,28.0,0.567,103.976,10,240074.0ms
Coast Contra,My Lady,48.0,0.565,88.311,5,254145.0ms
KAYTRANADA,Caution,58.0,0.696,216.053,9,155758.0ms
Radio 4,Enemies Like This,39.0,0.33,160.004,6,261360.0ms
Ezra Collective,Chapter 7 (feat. Ty),49.0,0.787,105.041,5,287321.0ms
Jordan Davis,Slow Dance In A Parking Lot,55.0,0.519,81.992,4,3.23215min
Justin Moore,We Didn't Have Much,28.0,0.469,176.033,4,2.913966667min
Supertramp,Just Another Nervous Wreck - 2010 Remastered,43.0,0.352,151.314,10,265680.0ms
The Jazz June,The Scars to Prove It,26.0,0.336,145.094,10,244188.0ms
Coi Leray,No More Parties - Remix,75.0,0.827,157.0,5,192880.0ms
The Shivas,Gloria,27.0,0.382,120.002,1,216931.0ms
Brijs,Mol y Sol,49.0,0.58,93.011,6,210360.0ms
Gentle Giant,Pantagruel's Nativity,33.0,0.32,139.522,10,410467.0ms
The Horrors,Still Life,50.0,0.392,170.091,6,321133.0ms
girlhouse,loaded gun,35.0,0.772,126.97,6,230905.0ms
Regard,You,85.0,0.691,106.064,9,233386.0ms
Dorothy Washington,Phillis Wheatley (1753-1784),4.0,0.692,102.742,5,68413.0ms
Britney Spears,Breathe on Me,53.0,0.709,112.203,9,3.729333333min
The Teardrop Explodes,Reward,49.0,0.389,159.876,6,162267.0ms
Biz Markie,Just a Friend,61.0,0.862,85.308,5,238267.0ms
Dr. Dre,Forgot About Dre,76.0,0.924,133.974,5,222293.0ms
Tai Verdes,A-O-K,71.0,0.731,82.488,6,173640.0ms
Gym Class Heroes,Cupid's Chokehold / Breakfast in America,81.0,0.72,78.953,9,4.062883333min
Juan Wauters,Unity (with Cola Boyy),26.0,0.681,90.191,6,209302.0ms
Little Buster & the Soul Brothers,Engines And Wings,8.0,0.666,105.265,2,256467.0ms
Girafot,◊®◊û◊ô ◊û◊ï◊ê◊©◊ù ◊ë◊ê◊ó◊ñ◊ß◊™ ◊°◊û◊ô◊ù ◊ß◊ú◊ô◊ù,34.0,0.63,148.308,10,331240.0ms
Miss Grit,Impostor,39.0,0.323,148.143,6,265836.0ms
Shlomo Artzi,◊™◊í◊ô◊ì◊ô,31.0,0.422,127.687,10,231733.0ms
Omer Adam,◊ê◊ô◊ü ◊°◊ï◊§◊ô◊ù ◊ò◊ï◊ë◊ô◊ù,38.0,0.679,109.078,9,209014.0ms
Sheryl Crow,My Favorite Mistake,46.0,0.614,104.646,10,248240.0ms
Faith No More,We Care a Lot,3.0,0.804,108.914,10,242840.0ms
Jacqueline Tucci,Sweeter Things,25.0,0.589,108.008,10,143856.0ms
September Mourning,Wake The Dead,41.0,0.261,113.742,8,206823.0ms
Nardo Wick,Shhh,57.0,0.704,160.216,5,139029.0ms
Yehudit Ravitz,◊ú◊û◊ô ◊©◊ê◊ô◊†◊ï ◊û◊ê◊û◊ô◊ü,15.0,0.555,148.804,10,190000.0ms
Matchbook Romance,Monsters,59.0,0.362,114.797,10,243747.0ms
Valerian Swing,Scilla,24.0,0.157,81.152,10,238067.0ms
Cold War Kids,Who‚Äôs Gonna Love Me Now,55.0,0.45,118.701,10,171227.0ms
"Shashi Kapoor, Amitabh Bachchan, Shatrughan Sinha, Rakhee, Parveen Babi, Neetu Singh",Vijay Bhaia Kahan Ho (with Dialogues),2.0,0.405,91.0,3,29.886min
Jamie Lawson,Can't See Straight - Acoustic,55.0,0.811,98.04,0,3.1343min
Tkay Maidza,Where Is My Mind?,59.0,0.544,148.002,10,177261.0ms
Nur Yoldas,Sultan-ƒ± Yegah,51.0,0.419,176.554,10,193667.0ms
Liv Sin,Slave to the Machine,38.0,0.596,134.955,8,218820.0ms
Uncut,Gold Digger Woman,14.0,0.461,148.048,10,249947.0ms
Hotel Pools,Lynx,41.0,0.635,171.99,6,201933.0ms
The Record Company,Ball And Chain,47.0,0.552,128.008,2,304687.0ms
Solomun,Ocean (feat. Jamie Foxx) - Moodymann & Amp Fiddler Extended Remix,44.0,0.772,123.006,1,464390.0ms
Rammellzee,Beat Bop - Edit,32.0,0.813,90.859,5,370533.0ms
Wimps,Garbage People,33.0,0.265,183.165,6,137960.0ms
Damn Yankees,Come Again,48.0,0.222,130.689,10,339560.0ms
Primal Scream,Movin' on Up,63.0,0.523,94.267,6,228267.0ms
LMFAO,Party Rock Anthem,73.0,0.751,130.014,9,262147.0ms
The Black Angels,Currency,40.0,0.446,146.014,10,316533.0ms
Britney Spears,Unusual You,46.0,0.629,123.974,9,4.35min
Zero 9:36,Take Me Instead,49.0,0.461,79.02,1,166389.0ms
Joey Landreth,Better Together,25.0,0.726,84.038,2,210640.0ms
Hanni El Khatib,Penny,12.0,0.573,132.31,9,197933.0ms
Kenny Wayne Shepherd,Down For Love - Live,26.0,0.329,133.074,2,269440.0ms
The Yawpers,Forgiveness Through Pain,36.0,0.374,132.835,10,180587.0ms
Deep Blue Something,Breakfast At Tiffany's,72.0,0.622,110.367,9,257373.0ms
Linn Koch-Emmery,Hard to Love,33.0,0.575,104.037,10,191760.0ms
Mk.gee,cz,52.0,0.734,91.064,6,228947.0ms
Absu,Pillars Of Mercy,30.0,0.269,145.99,8,261693.0ms
Eradicate Me,Asymmetry,24.0,0.366,160.094,8,193375.0ms
Catsystem Corp.,Aquascaping „Éî „É© „Éü „ÉÉ „Éâ,33.0,0.529,158.921,6,74000.0ms
2smokeyy,Corn,67.0,0.818,143.064,5,201399.0ms
India Jordan,Feierabend,38.0,0.652,148.004,1,327520.0ms
Teddy Neguse,◊ò◊ì◊ô ◊†◊í◊ï◊°◊î - ◊§◊ú◊ô◊ñ,12.0,0.814,139.902,5,185143.0ms
Scarface,No Tears,54.0,0.88,81.93,5,146280.0ms
DJ √ñtzi,Hey Baby (Radio Mix),58.0,0.666,135.099,9,219240.0ms
Sleepy Sun,Desert God,38.0,0.312,133.17,10,316777.0ms
Esm√© Patterson,Out The Door,30.0,0.65,125.795,1,134880.0ms
Green-House,Sunflower Dance,45.0,0.314,72.528,6,212055.0ms
Tempting Fate,Running in Circles,32.0,0.53,162.053,1,202963.0ms
Tommy James & The Shondells,Crimson & Clover,57.0,0.408,82.499,6,209640.0ms
Mammoth WVH,Don‚Äôt Back Down,54.0,0.5,139.981,10,225840.0ms
Gary Myrick,She Talks In Stereo,33.0,0.802,118.214,6,237640.0ms
Bernard Allison,Groove With Me,5.0,0.677,95.808,2,303933.0ms
Blondie,One Way Or Another,66.0,0.45,162.487,10,215107.0ms
Darius Rucker,Wagon Wheel,78.0,0.537,148.096,4,4.972883333min
Sonny Rollins Quartet,When Your Lover Has Gone,37.0,0.587,107.768,7,6.162666667min
The Vines,Get Free,62.0,0.502,138.811,1,126573.0ms
Moneybagg Yo,One Of Dem Nights (with Jhen√© Aiko),64.0,0.814,126.959,5,143533.0ms
Westlife,You Are So Beautiful (To Me),2.0,0.386,118.17,9,3.066216667min
Joni Mitchell,A Case of You,67.0,0.693,100.836,0,4.39133333min
Cream,Sunshine Of Your Love,68.0,0.684,115.078,10,4.16666667min
Barbara Mandrell,Sleeping Single In A Double Bed - Single Version,35.0,0.715,139.375,4,2.314216667min
Ram Orion,◊ê◊ô◊†◊°◊ï◊£,9.0,0.505,114.992,6,261893.0ms
The Dangerous Summer,Way Down,45.0,0.402,83.238,1,201229.0ms
YG,Go Big - From The Amazon Original Motion Picture Soundtrack Coming 2 America,58.0,0.899,150.028,5,169843.0ms
G Perico,Doin Floccs,41.0,0.859,89.963,5,122667.0ms
Brothers of Metal,Njord,50.0,0.505,100.039,8,230319.0ms
Moshe Peretz,◊î◊ô◊ô◊†◊ï ◊©◊†◊ô◊ô◊ù,31.0,0.824,123.036,9,234146.0ms
Three Days Grace,I Hate Everything About You,72.0,0.498,89.342,10,231480.0ms
Alabama Shakes,Hang Loose,44.0,0.625,119.809,6,144200.0ms
Jayy Grams,Moment of Truth,44.0,0.537,81.929,5,195368.0ms
Mohammed Rafi,Pathar Ke Sanam,24.0,0.362,104.3,3,4.964666667min
Crazy Cavan,My Little Sister Gotta Motorbike,38.0,0.446,183.696,10,165293.0ms
Allysha Joy,Watercolours,37.0,0.521,79.214,1,268080.0ms
John Paul Jones,Leafy Meadows,37.0,0.479,111.892,10,310467.0ms
Palm Voyage,Valentine's Week,15.0,0.601,66.008,6,192750.0ms
Kaiser Chiefs,Never Miss A Beat,48.0,0.506,156.05,1,188853.0ms
TOOL,Sober,68.0,0.385,149.271,10,306853.0ms
The Rezillos,Top of the Pops,39.0,0.417,183.704,1,175640.0ms
Stevie Salas,Blind,29.0,0.743,94.936,10,288093.0ms
Stick Figure,Summertime (feat. Citizen Cope),61.0,0.744,79.999,10,238767.0ms
Mason Hill,Against the Wall,42.0,0.566,126.043,10,261387.0ms
JJ Wilde,The Rush,49.0,0.747,129.976,10,187890.0ms
Dora Jar,Quiver,32.0,0.731,100.036,6,203360.0ms
DON BROCO,Manchester Super Reds No.1 Fan,55.0,0.408,99.788,8,217619.0ms
NUMI,◊î◊†◊ï◊£ ◊û◊©◊™◊†◊î,19.0,0.704,85.05,5,169412.0ms
Patti Smith,We Three,35.0,0.3,187.968,10,258227.0ms
KONGOS,Terrified,39.0,0.574,168.114,10,221547.0ms
Dudu Aharon,◊ó◊í◊ô◊í◊î ◊ë◊ô◊©◊®◊ê◊ú,28.0,0.699,129.98,9,234001.0ms
Adam Sanders,What If I'm Right,68.0,0.431,167.788,4,2.770666667min
Milk Teeth,Owning Your Okayness,29.0,0.46,128.175,10,199293.0ms
Kaisaku,Cerulean,32.0,0.586,115.974,9,291724.0ms
sunflwr,kawamurra,27.0,0.98,126.004,9,219524.0ms
Breezer,Alive,18.0,0.394,136.999,10,255962.0ms
Egypt Central,Hunted,47.0,0.355,195.022,8,173399.0ms
Missy Elliott,The Rain (Supa Dupa Fly),60.0,0.836,79.98,5,251000.0ms
Obsk√ºr,Bayside - 10 Years Of Eats Everything Remix,42.0,0.521,128.743,6,228956.0ms
American Teeth,Fix You,41.0,0.654,116.996,1,197565.0ms
Lukach,◊û◊ï◊™◊ß ◊ê◊†◊≥◊ú◊ê ◊û◊©◊ú◊ù,13.0,0.735,122.914,5,143932.0ms
Kina Grannis,For Now,58.0,0.394,79.549,0,3.30673333min
David Bowie,Let's Dance - 1999 Remaster,15.0,0.619,115.043,10,7.61888333min
Aviv Geffen,◊û◊ß◊°◊ô◊ß◊ï,25.0,0.544,120.752,10,218760.0ms
Within Temptation,Faster,59.0,0.505,120.008,8,263973.0ms
Noa Kirel,◊ê◊û◊ë◊ï◊ú◊†◊°,47.0,0.79,123.997,9,153871.0ms
Another Now,Trojan,38.0,0.533,130.071,8,196880.0ms
ColdWorld,This Empty Life,26.0,0.17,118.889,8,439974.0ms
Necrophobic,The Infernal Depths of Eternity,28.0,0.175,135.044,8,453733.0ms
Andy Sheppard Quartet,Romaria,48.0,0.38,134.175,7,5.191333333min
Heavy Pettin,Sole Survivor,26.0,0.471,96.19,10,222000.0ms
Michael Kiwanuka,Cold Little Heart - Radio Edit,71.0,0.629,110.264,2,210300.0ms
Stone Sour,30/30-150,5.0,0.512,163.044,8,258067.0ms
Panama,Together - il:lo Remix,41.0,0.659,114.017,6,294737.0ms
Eyes Set To Kill,Find Our Way,45.0,0.578,110.049,8,209498.0ms
Repenter,Forever,21.0,0.378,149.385,10,250867.0ms
Taylor Swift,Delicate,77.0,0.75,95.045,9,232253.0ms
ABSOLUTE.,Sage comme une image - Good as Gold,44.0,0.792,124.996,1,236165.0ms
Harmonica Shah,She Used to Be Beautiful,1.0,0.574,99.313,2,279573.0ms
Russell Dickerson,Blue Tacoma,18.0,0.455,160.139,4,3.53445min
M√©lonade,Hear What They Say,34.0,0.853,127.977,6,191275.0ms
Steamhammer,Contemporary Chick Con Song - Remastered,33.0,0.448,129.345,2,295213.0ms
PACKS,New TV,34.0,0.498,149.89,10,141545.0ms
Blind Lemon Jefferson,Match Box Blues,36.0,0.475,169.224,2,183066.0ms
Simply Red,Stars - Live at Sydney Opera House,41.0,0.628,105.01,9,4.099066667min
Manny Blu,Train,44.0,0.46,147.967,10,177320.0ms
Snowy Dunes,Desert Cold,33.0,0.286,131.796,10,373134.0ms
Ocean Bed,Darlingside,53.0,0.601,160.987,0,4.006min
The Rolling Stones,Out Of Control,53.0,0.742,122.202,10,283840.0ms
Foogiano,MOLLY (Remix) [feat. DaBaby],56.0,0.901,135.504,5,227902.0ms
Siuzanna,STYN_,33.0,0.586,133.934,6,219320.0ms
Ghost King,Slither,27.0,0.358,170.051,10,141628.0ms
Tides From Nebula,Paratyphoid Fever,35.0,0.411,105.051,8,397613.0ms
Rise Against,The Violence,61.0,0.294,184.007,10,228720.0ms
Circe,Going Down,31.0,0.561,174.074,9,151978.0ms
May Rio,Butter,27.0,0.682,128.459,6,120614.0ms
Refused,Born On The Outs,44.0,0.615,125.039,10,214760.0ms
Gizmo Varillas,A La Vida,35.0,0.601,89.982,6,185227.0ms
Arrival Of Autumn,Witness,34.0,0.492,135.003,8,231840.0ms
"Pankaj Udhas, Sadhana Sargam",Na Kajare Ki Dhar (With Jhankar Beats),39.0,0.63,145.436,3,5.377116667min
Fenne Lily,Alapathy,37.0,0.554,157.621,6,194973.0ms
L≈™N,demolition (Ruined by Glass Petals),57.0,0.773,125.02,10,226440.0ms
Black Paisley,Save the Best,27.0,0.432,145.011,8,233468.0ms
T-Bone Walker,T-Bone Blues,47.0,0.541,76.828,2,228627.0ms
Nati Levi,◊ê◊ó ◊ô◊ê ◊¢◊ô◊ï◊†◊ô,16.0,0.555,156.796,9,227533.0ms
Atreyu,Warrior (feat. Travis Barker),66.0,0.528,154.958,10,165891.0ms
Giveon,Heartbreak Anniversary,82.0,0.443,87.064,9,198371.0ms
St. Vincent,Masseduction,53.0,0.696,114.989,6,197427.0ms
Faye Adams,Hurts Me To My Heart,33.0,0.554,82.752,2,180200.0ms
Tom Petty,Yer So Bad,55.0,0.569,90.454,10,185667.0ms
Circa Waves,Lemonade,57.0,0.789,103.975,6,220107.0ms
Phani Narayana,Bantureethi Koluvu - Instrumental,14.0,0.364,88.045,6,261627.0ms
Toosii,rich nigga (feat. Key Glock),57.0,0.805,160.068,5,162181.0ms
Trisha Yearwood,Georgia Rain,48.0,0.518,99.176,4,5.189333333min
Backstreet Boys,It's True,42.0,0.549,80.98,9,4.218216667min
Pearl Jam,Immortality - Remastered,56.0,0.633,129.089,10,318067.0ms
Rah Digga,Tight,34.0,0.757,94.169,5,194267.0ms
22Gz,Twirlanta,66.0,0.803,139.948,5,178407.0ms
Egypt Central,Hunted,47.0,0.355,195.022,10,173399.0ms
Murmur,Fragile,19.0,0.453,92.782,10,189459.0ms
James Bay,Wild Love - Acoustic,65.0,0.519,139.954,0,3.15245min
King Princess,PAIN,57.0,0.584,103.517,6,218200.0ms
Dream Theater,On the Backs of Angels,43.0,0.533,137.981,10,522520.0ms
Richie Kotzen,The Damned,39.0,0.479,93.047,2,279086.0ms
"Matt Hartke, Maggie Peake",Gold,52.0,0.641,128.091,0,4.28125min
grandson,Dirty,64.0,0.536,159.953,1,208296.0ms
Tincho,Good At It,20.0,0.464,159.902,10,205720.0ms
Jonathan Terrell,Love Can Find You Anywhere,39.0,0.65,95.059,1,219183.0ms
shame,Nigel Hitter,44.0,0.585,130.105,6,204307.0ms
Lady Gaga,Stupid Love,77.0,0.68,117.987,9,193533.0ms
Mastodon,Just Got Paid,32.0,0.436,95.999,8,213813.0ms
The Beatles,Hey Jude - Remastered 2015,75.0,0.386,147.207,10,425653.0ms
Demi Lovato,Met Him Last Night (feat. Ariana Grande),82.0,0.538,144.978,9,204632.0ms
Cory Marks,Outlaws & Outsiders,59.0,0.5,176.189,10,197235.0ms
"Claude Debussy, Julian Lloyd Webber, Royal Philharmonic Orchestra, James Judd","Rêverie, L. 68",52.0,0.135,63.831,7,4.0min
Acollective,Circles,34.0,0.516,173.047,6,193294.0ms
Acqua Fragile,Mass-Media Stars,20.0,0.385,161.022,10,413893.0ms
John Boutt√©,Accentuate The Positive,22.0,0.828,120.082,2,144800.0ms
Cellar Darling,DANCE,36.0,0.332,138.768,8,648692.0ms
Dan + Shay,From the Ground Up,66.0,0.281,151.568,4,4.232216667min
Cobi,Prophet Story,40.0,0.576,95.864,2,218992.0ms
Ana Egge,Cocaine Cowboys,17.0,0.561,79.587,1,235000.0ms
Aaron Smith,Unconditional,56.0,0.438,137.705,9,203000.0ms
Jeff Beck,Roy's Toy,21.0,0.716,99.96,2,215040.0ms
"Ryan Montbleau, Tall Heights",Fast Car (feat. Tall Heights),61.0,0.577,174.192,0,4.54945min
Roy Orbison,"Oh, Pretty Woman",74.0,0.619,127.433,10,178933.0ms
Shlomo Artzi,◊ê◊ï◊û◊®◊ô◊ù ◊ô◊©◊†◊î ◊ê◊®◊•,27.0,0.464,93.186,10,175907.0ms
Falling In Reverse,Popular Monster,77.0,0.461,165.107,10,220537.0ms
The Black Crowes,Sting Me,42.0,0.55,129.296,10,280133.0ms
The Futureheads,Hounds of Love,56.0,0.36,168.214,6,182680.0ms
"Wade In The Water (Feat. The War and Treaty, with The Blind Boys of Alabama)","Matt Rollings, The War and Treaty, The Blind Boys Of Alabama",25.0,0.358,202.794,0,3.1617min
Jesse Roper,Horizons,32.0,0.524,109.533,2,157693.0ms
Yuval Dayan,◊ú◊§◊™◊ï◊ó ◊ê◊™ ◊î◊ú◊ë,31.0,0.71,105.955,9,220955.0ms
I Prevail,Every Time You Leave (Feat. Delaney Jane),52.0,0.473,150.021,10,216627.0ms
Green Lung,Let the Devil In,36.0,0.361,141.907,10,300227.0ms
Brian Casey,Oh Now,37.0,0.452,174.427,2,152076.0ms
New Radicals,You Get What You Give,74.0,0.621,113.967,9,300773.0ms
